ID	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6	treatment_7	treatment_8	treatment_9	treatment_10	treatment_11	treatment_12
AT1G01010	68.627	25.037	29.518	32.661	41.351	21.354	28.217	54.379	18.857	15.308	36.772	35.177	26.756	48.844	12.437
AT1G01020	182.548	153.636	175.42	222.912	230.129	148.887	130.506	149.764	214.758	191.355	141.958	180.472	185.311	317.484	234.395
AT1G01030	19.216	33.003	25.301	30.212	50.341	16.609	21.163	17.829	23.047	16.159	19.669	16.824	27.747	28.492	23.918
AT1G01040	44.608	70.559	67.469	91.451	57.532	69.401	45.853	63.293	85.903	56.131	61.572	82.589	55.494	88.19	107.152
AT1G01050	506.468	592.92	556.622	580.552	643.641	523.18	506.739	528.631	496.562	618.29	566.124	596.477	449.899	499.292	461.136
AT1G01060	146.176	166.154	117.228	220.463	242.714	216.509	45.853	57.053	49.237	82.495	95.779	133.06	353.775	662.104	438.175
AT1G01070	61.764	37.555	74.216	87.369	75.511	94.315	64.665	61.51	96.379	69.738	89.793	68.06	128.826	92.26	127.243
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	525.684	617.957	597.947	656.489	640.045	558.177	584.337	508.128	610.751	473.71	374.565	430.534	55.494	42.06	36.355
AT1G01090	1065.094	1082.278	1319.869	1170.086	1026.59	1087.289	934.705	1062.611	992.077	905.748	1045.875	770.831	889.889	951.096	901.224
AT1G01100	2477.441	2683.504	2557.088	2082.149	2256.34	1755.203	2170.396	1849.763	1945.393	1776.626	1757.378	2052.491	1609.332	1970.031	1968.917
AT1G01110	21.961	33.003	16.867	35.927	12.585	33.218	37.623	48.138	14.666	22.963	27.365	19.118	5.946	12.211	13.394
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	570.978	466.597	290.118	520.129	456.662	402.765	209.28	225.537	254.567	287.458	253.131	264.591	272.516	147.888	150.204
AT1G01130	63.823	34.141	22.771	40.01	17.979	27.286	38.799	15.155	15.714	28.916	35.062	62.707	9.91	16.281	12.437
AT1G01140	516.076	530.328	515.297	536.46	508.8	557.584	459.71	458.206	397.04	397.168	436.993	478.711	416.206	397.534	567.331
AT1G01150	0	2.276	5.904	1.633	0	0	8.23	0	1.048	0	5.986	0	0	0	0.957
AT1G01160	150.98	134.289	172.047	163.306	172.597	184.477	166.954	163.136	141.426	174.346	122.29	144.531	284.408	408.388	337.72
AT1G01170	600.488	655.512	715.175	640.159	684.992	595.547	743.061	643.629	677.797	630.196	554.151	572.77	391.432	321.555	333.893
AT1G01180	94.705	154.774	115.541	94.717	79.107	88.383	69.368	67.75	49.237	59.533	44.469	81.824	49.548	61.055	61.23
AT1G01190	6.176	10.242	4.217	4.083	3.596	9.491	1.176	0	8.381	1.701	0	3.059	0	0	0
AT1G01200	3.431	2.276	3.373	10.615	3.596	8.304	15.284	7.132	7.333	7.654	27.365	21.412	2.973	1.357	0
AT1G01210	45.294	94.458	50.602	53.074	62.926	58.131	64.665	57.944	81.713	63.785	66.703	49.706	78.286	78.693	101.412
AT1G01220	77.549	52.35	55.662	58.79	30.564	76.519	63.489	72.208	109.998	61.234	49.6	72.648	52.521	43.417	44.009
AT1G01225	46.666	23.899	39.638	33.478	55.734	45.674	21.163	24.069	40.856	35.72	36.772	35.177	37.657	23.065	15.307
AT1G01230	327.352	423.352	354.214	287.418	305.64	324.466	450.304	324.489	371.898	393.766	315.558	366.298	378.55	370.398	374.075
AT1G01240	391.175	490.496	502.647	408.265	436.885	589.022	583.162	704.247	632.75	637	543.889	571.241	1603.386	1495.162	1761.31
AT1G01250	36.372	40.97	21.084	55.524	77.309	138.803	136.385	112.323	79.618	206.664	312.993	199.59	329.001	290.349	303.278
AT1G01260	104.313	94.458	91.084	79.203	64.724	67.622	44.678	90.037	106.855	62.084	55.586	89.471	52.521	70.552	49.749
AT1G01280	0	0	0	8.165	17.979	23.727	9.406	13.372	16.762	39.121	6.841	23.706	6.937	59.698	14.351
AT1G01290	62.451	46.66	61.566	73.488	109.671	43.302	47.029	57.944	90.094	102.056	102.621	83.354	134.772	77.336	88.018
AT1G01300	426.861	424.49	356.744	310.281	339.799	304.298	318.623	389.565	370.85	305.318	363.448	398.416	112.97	66.482	46.879
AT1G01305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.784
AT1G01310	1.373	2.276	0	0	0	0	1.176	0	0	0	0.855	0	2.973	6.784	41.139
AT1G01320	424.116	438.146	444.454	639.342	568.13	566.482	402.099	566.072	515.419	491.57	484.027	583.476	737.28	887.328	805.553
AT1G01340	48.725	42.108	18.554	11.431	5.394	10.084	4.703	12.48	9.428	1.701	2.566	9.941	2.973	17.638	9.567
AT1G01350	142.058	112.666	165.3	112.681	84.5	94.908	97.586	103.408	128.855	118.215	104.331	169.766	189.275	248.289	226.741
AT1G01355	0	0	0	0	0	1.186	0	0	0	0	0	0	0.991	0	0.957
AT1G01360	115.294	125.185	204.938	127.379	258.895	224.22	244.552	225.537	206.377	261.093	241.158	250.826	277.471	268.641	218.131
AT1G01370	26.765	29.589	45.542	35.927	25.17	62.876	28.217	21.395	43.999	52.729	29.076	29.059	6.937	6.784	7.654
AT1G01380	6.863	7.966	4.217	4.083	10.787	10.084	8.23	16.938	8.381	11.056	15.393	2.294	0	0	4.784
AT1G01390	21.961	14.795	31.205	58.79	55.734	57.538	14.109	31.201	32.476	41.673	32.497	32.883	9.91	1.357	1.913
AT1G01400	0	0	0	0	0	0	0	0	2.095	0	0	0	0	0	0.957
AT1G01410	2.745	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420	37.745	37.555	63.253	57.974	71.915	40.929	56.435	49.921	56.57	101.206	77.821	93.295	8.919	5.427	4.784
AT1G01430	301.273	319.79	371.925	352.741	246.31	350.566	300.987	310.225	299.614	178.598	200.965	199.59	84.232	67.839	93.758
AT1G01440	45.294	37.555	64.096	33.478	12.585	29.066	18.812	23.178	38.761	28.065	30.786	39	48.557	56.984	43.052
AT1G01450	1.373	1.138	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01453	0	1.138	0	0	0	0	3.527	1.783	0	0	5.131	0	2.973	14.924	6.697
AT1G01460	0.686	0	0.843	0	0	0	0	0	0	0	0.855	0	0	4.07	12.437
AT1G01470	714.409	685.101	688.187	777.336	960.068	875.525	2369.094	2102.044	2086.819	3287.056	3234.259	2138.904	24845.543	29569.466	26838.688
AT1G01471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01480	74.117	33.003	9.277	13.881	7.192	15.423	9.406	25.852	2.095	11.907	22.234	55.059	882.952	1170.893	1184.412
AT1G01490	1085.682	1066.346	1047.462	1060.671	927.706	949.079	694.856	715.836	752.177	646.355	695.254	635.477	999.886	1051.497	1111.701
AT1G01500	177.744	186.639	227.709	158.407	163.607	208.204	206.928	238.018	197.996	205.813	194.124	196.531	431.071	481.654	514.712
AT1G01510	125.588	143.393	180.481	143.709	136.639	178.545	136.385	144.415	156.092	176.897	131.696	149.119	173.419	168.24	149.247
AT1G01520	0	3.414	1.687	3.266	3.596	5.932	1.176	0	1.048	10.206	3.421	9.177	56.485	27.135	38.269
