ID	control_1	control_2	control_3	control_4	control_5	control_6	control_7	control_8	control_9	control_10	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6	treatment_7	treatment_8	treatment_9	treatment_10
AT1G01010	27.2788	22.9523	12.2949	11.3346	27.7175	13.9211	14.6881	20.4456	16.9175	25.0046	19.9091	11.1323	14.6126	25.1788	21.545	4.815	39.1725	32.376	18.318	6.3075
AT1G01020	110.6739	73.1603	83.4295	64.2292	122.6288	116.9373	116.9398	98.9303	84.5875	115.406	78.4651	62.0226	114.8131	94.4203	122.5374	98.7076	94.7722	78.384	115.5441	101.9708
AT1G01030	28.8376	28.6903	16.6859	3.7782	21.838	33.4107	52.5382	26.3814	34.6809	33.6601	21.0802	12.7226	15.6563	18.8841	9.426	13.2413	26.5362	19.596	12.6817	11.5637
AT1G01040	45.9842	64.5532	36.8846	51.0055	47.8756	89.7912	63.8367	60.0177	54.136	27.8898	65.5828	85.8774	73.0629	81.831	87.5267	60.1876	55.5997	56.232	56.363	68.3309
AT1G01050	484.7831	481.28	407.4875	536.5028	435.9203	376.5661	392.0591	350.2133	417.0162	429.8872	363.0476	372.1354	434.2023	391.3199	359.5327	371.9592	353.8164	408.108	329.7233	390.0118
AT1G01060	21.0436	32.2766	19.3205	7.5564	19.3182	27.1462	23.7269	38.2531	32.1432	61.5498	53.8716	39.7581	54.2753	63.996	72.7145	514.0019	377.8253	580.212	481.9033	558.211
AT1G01070	38.1903	38.7319	42.1539	41.5601	41.9962	34.8028	56.4927	44.8484	52.4442	54.8178	67.925	66.7935	101.2443	103.8624	87.5267	160.0989	224.9261	196.812	224.0428	224.9664
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	566.6194	457.6105	522.5324	576.1738	506.4738	451.7401	504.4795	499.9278	589.5746	487.5902	371.2455	319.6547	278.6827	218.2159	232.9556	50.5576	32.8544	29.82	46.4994	33.6398
AT1G01090	999.1831	832.0191	969.5392	970.9945	936.5146	899.9999	972.2387	756.4871	901.7024	879.9705	648.8012	691.7901	614.7719	507.7716	460.525	621.1357	646.9785	584.472	745.4001	604.4658
AT1G01100	3886.0585	3575.5305	3994.9581	4239.1278	3832.5706	2926.9137	3006.5394	3399.2453	3869.8766	3609.3216	1845.6872	1316.7867	1213.8876	1136.1915	1051.6668	1857.3885	1623.7644	2009.868	2103.7474	1658.8644
AT1G01110	14.0291	5.0208	3.5128	9.4455	10.919	9.0487	18.0777	11.2121	15.2257	20.196	4.6845	14.3129	19.8314	4.1965	13.4656	0	1.2636	0	4.2272	0
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	338.257	383.0157	448.7632	338.1479	437.6001	336.1948	444.5972	431.3361	466.0769	306.7875	217.8286	270.3548	178.4822	112.2553	121.1908	87.8739	82.1359	64.752	101.4533	80.9459
