GeneID	control_1	control_2	treatment_1	treatment_2
LOC_Os12g44390	13.92302011	15.2319042	16.39891155	17.77508312
LOC_Os12g44380	17.09252742	19.71982024	49.55834344	53.25255469
LOC_Os12g44380	0.765465841	5.747341355	2.371445635	7.316924116
LOC_Os12g44380	14.49142753	13.35534996	28.05941063	20.08620972
LOC_Os12g44370	23.33345484	20.38227649	24.51445405	16.47756809
LOC_Os12g44360	2.336108354	2.854238023	3.491710097	0
LOC_Os12g44360	11.17639697	11.24382599	12.7860334	0.169744248
LOC_Os12g44360	1.684818078	0	6.657701345	5.892990081
LOC_Os12g44360	7.08565367	9.135044735	9.288549904	18.63744202
LOC_Os12g44350	0.116883497	0.12718775	0.775950066	0.588033858
LOC_Os12g44340	8.937015979	10.92179761	2.510108237	3.735270628
LOC_Os12g44330	12.6575505	8.713795613	36.7556311	30.98196614
LOC_Os12g44330	10.11994741	13.28214414	8.152312584	13.13015551
LOC_Os12g44320	0.057349187	0.062404995	0.25381459	0.403928442
LOC_Os12g44310	156.1524356	171.6327567	51.92657634	83.54567592
LOC_Os12g44310	0	4.679999422	0	4.065187651
LOC_Os12g44300	0	0.128714558	0	0.059509283
LOC_Os12g44290	0.105437707	0.229465837	0	0
LOC_Os12g44280	0	0	0	0
LOC_Os12g44270	0	0	0	0
LOC_Os12g44260	0.332484549	0.361795828	0	2.007251769
LOC_Os12g44250	1.580028616	3.266710437	9.964812584	6.677184456
LOC_Os12g44240	6.456441841	4.89665184	4.329508793	3.445057564
LOC_Os12g44230	0.811572103	0.353247574	0	0
LOC_Os12g44230	9.299990742	16.36403265	2.043387639	3.451007301
LOC_Os12g44220	0.599944445	0.130566908	0	0.724388277
LOC_Os12g44220	0	0	0	0
LOC_Os12g44210	0	0	0	0
LOC_Os12g44200	0	0	0	0
LOC_Os12g44190	0.078429785	0.256032069	0	0
LOC_Os12g44180	6.783204987	5.612788213	21.26483119	17.56061788
LOC_Os12g44170	10.01072776	12.49806683	33.22892048	24.46220848
LOC_Os12g44160	0	0.453248915	0.460865304	0.838211883
LOC_Os12g44160	0	0	0	0
LOC_Os12g44160	0.69283357	0.628260511	0	0
LOC_Os12g44150	0	0.145651614	0	0
LOC_Os12g44150	34.91191236	33.08039246	21.41338446	20.40645234
LOC_Os12g44140	9.721574003	7.806285821	12.83346748	11.4682364
LOC_Os12g44130	2.110824169	1.736688714	1.765872008	1.191448208
LOC_Os12g44120	0	0	0	0
LOC_Os12g44110	2.96191184	4.87809796	22.76317588	23.11699779
LOC_Os12g44100	2.614360255	4.228813037	9.147004593	14.43241064
