gene_id	control_1	control_2	control_3	control_4	control_5	control_6	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6
#N/A	2.65	2.12	59.82	56.59	3.79	3.8	1.71	1.61	166.52	158.6	64.56	65.81
#N/A	36.74	38.24	26.52	27.71	29.28	29.01	43.83	41.74	25.93	26.53	43.68	42.25
#N/A	363.6	382.87	45.85	36.56	252.26	234.81	258.5	261.23	54.7	56.73	100.59	90.27
#N/A	7.84	5.89	29.08	26.38	5.31	8.41	10.15	3.3	10.89	13.07	8.9	8.08
#N/A	443.26	444.1	26.86	26.02	179.02	141.85	291.58	281.93	33.16	36.4	96.62	89.24
#N/A	77.56	66.38	11.42	14.71	47.63	55.08	38.09	36.76	19.64	22.95	21.48	25.57
#N/A	57.82	58.94	12.85	15.18	85.62	101.75	50.04	47.73	30.16	30.38	182.13	153.98
#N/A	6.43	7.55	1.26	0.95	2.78	3.86	7.38	5.56	1.93	1.83	2.37	2.04
#N/A	4	2.15	8.25	8.15	6.4	4.45	5.41	4.34	7.33	7.35	8.09	6.21
#N/A	377.68	360.97	5.53	6.26	1446.24	1187.18	164.08	163.79	3.71	4.07	192.54	188.61
#N/A	24.41	19.43	13.33	13.21	48.66	47.37	16.08	19.03	13.1	12.08	9.81	9.48
#N/A	18.24	15.62	19.57	21.08	25.54	28.19	18.08	19.37	23.77	24.97	17.9	14.78
#N/A	2.16	0.95	0.46	1.02	1.52	2.27	1.07	1.07	0.82	0.47	1.06	0.87
#N/A	43.79	49.67	62.46	64.95	42.71	44.88	56.21	46.87	76.07	72.37	43.43	41.13
#N/A	24.9	25.64	9.82	8.63	21.16	20.96	19.89	22.55	13.71	11.79	16.24	14.19
#N/A	187.6	176.04	56.51	36.29	115.53	78.77	114.51	158.42	100.88	107.64	71.68	77.51
#N/A	49.31	43.97	29.67	28.91	89.05	102.46	42.19	43.42	37.06	43.26	47.89	55.51
#N/A	15	15.69	89.77	88.03	23.59	24.06	14.52	16.4	128.18	117.57	38.64	34.01
#N/A	1.07	1.9	1.33	1.28	7.76	7.5	0.8	2.63	2.66	3.21	5.27	5.51
#N/A	16.59	18.76	4.58	2.52	17.44	17.14	10	8.87	14.37	10.05	15.76	18.2
#N/A	0.78	0.92	0.5	0.2	1.7	2.88	1.21	1.88	0.25	0.26	0.94	1.47
#N/A	33.44	35.17	11.71	12.61	24.73	25.5	54.43	52.63	13.98	15.48	24.03	21.79
#N/A	3.72	6.11	1.45	1.34	9.18	6.24	2.65	5.09	2.7	4.23	2.32	3.18
#N/A	0.97	1.28	0.38	0.27	1.41	0.92	1.18	0.81	0.17	0.35	0.6	0.91
#N/A	5.56	4.45	5.27	3.93	14.11	17.13	4.72	4.5	6.51	6.78	8.51	7.15
#N/A	44.18	37.87	39.92	38.72	37.32	46.2	43.5	45.14	43.7	44.26	37.38	36.45
#N/A	119.12	121.47	7.71	9.03	259.5	164.89	351.02	380.79	20.3	16.22	104.17	88.81
#N/A	0.57	0.35	4.09	5.44	3.22	4.02	0.12	0.71	16.8	18.01	10.78	12.26
#N/A	28.19	27.69	14.44	16.15	22.24	22.75	15.12	15.96	23.48	29.76	13.82	11.4
#N/A	2.91	3.83	27.03	25.91	3.97	8.92	7.75	7.68	19.08	15.18	14.98	12.7
#N/A	0.8	0.5	0.17	0.42	1.11	0.75	1.28	0.87	0.37	0.26	0.91	1.09
#N/A	0.77	1.57	0.5	0.79	0.52	0.78	1.33	1.6	0.75	0.77	1.05	3.43
#N/A	4.53	3.58	0.98	1.55	8.39	5.59	3.92	9.13	0.73	1	4.41	3.62
#N/A	1.62	0.95	3.18	2.88	3.06	4.24	1.45	1.94	1.59	4.42	1.92	1.68
#N/A	5.37	3.98	2.61	2.56	4.24	2.21	5.91	4.79	2.07	1.84	2.76	2.39
#N/A	1.61	3.26	77.63	57.65	3.24	3.65	2.08	3.75	30.43	19.58	7.86	7.42
#N/A	3.67	4.97	0.85	1.08	2.29	2.11	2.35	2.71	0.85	0.87	0.72	1.43
#N/A	11.35	13.01	2.52	0.53	9.29	9.53	12.17	11.42	3.88	3.6	8	8.51
#N/A	2.93	4.32	2.58	2.87	7.79	5.37	4.96	4.41	2.84	0.53	5.2	3.82
#N/A	0.29	1.53	0.97	1.04	1.89	1.68	3.04	2.01	2.36	1.7	1.75	2.66
#N/A	4	4.74	0.32	0.58	1.88	3.39	10.33	8.67	1.67	1.06	4.96	4.74
#N/A	18.69	19.2	11.82	11	15.19	20.95	23.09	22.56	16.46	17.54	16.35	13.67
#N/A	2.83	2.16	6.19	7.11	6.61	10.54	6.43	4.22	22.19	26.26	13.13	17.63
#N/A	1.81	1.84	9.66	8.37	2.74	1.82	3.75	2.81	7.02	5.4	19.56	21.36
#N/A	7.86	8.13	6.13	4.91	4.93	5.36	7.75	6.53	7.78	5.75	5.2	7.38
#N/A	0.26	0.26	1.26	1.2	1.57	0.52	0.27	0.27	1.76	0.77	0.27	0.27
#N/A	1.94	1.64	0.63	1.5	1.96	3.92	1.34	3.69	1.88	1.61	1.33	2.66
#N/A	1.05	2.13	8.14	12.39	2.47	2.82	2.53	3.98	3.05	2.78	2.88	3.94
#N/A	2.84	3.18	3.04	0.44	2.58	1.72	1.18	1.18	2.21	1.13	2.64	2.04
#N/A	5.3	4.84	15.44	12.26	2.67	5.88	10.43	3.84	3.6	5.27	7.09	10.33
#N/A	3.47	1.99	1.76	0.36	1.16	2.01	3.99	2.54	0.98	1.98	3.88	2.41
#N/A	7.83	11.24	1.02	1.16	10.41	8	15.23	15.05	1.87	1.95	15.93	13.68
#N/A	51.58	57.54	3.79	2.83	264.77	247.28	118.61	117.62	2	2.97	231.87	235.81
#N/A	1.19	0.55	0.23	0.42	0.52	0.37	0.95	0.67	0.32	0.23	0.78	1.42
#N/A	6.24	10.13	2.78	6.74	11.17	9.01	11.04	12.41	3.11	1.89	4.24	3.34
#N/A	0.66	1.61	0.42	0.95	0.51	1.91	3.28	2.23	1.4	1.87	6.53	6.39
#N/A	3	2.12	28.01	30.61	3.95	3.69	2.03	0.68	44.48	38.17	1.48	2.54
#N/A	61.44	63.1	3.81	4.04	279.78	225.55	26.43	27.78	3.17	2.6	23.56	35.56
#N/A	0.73	0.89	0.56	1.12	1.91	1.32	2.26	1.21	0.85	0.87	0.45	0.15
#N/A	24.1	25.95	8.13	7.03	17.05	16.57	25.14	24.44	13.11	13.64	16.02	21.92
#N/A	2.03	4.56	0.78	1.36	5.81	2.74	2.7	4.18	2.15	0.52	2.81	4.66
#N/A	30.7	32.53	25.05	27.49	18.66	9.94	32.99	32.51	37.63	39.9	13.48	13.01
#N/A	0.22	0.71	0.11	0.7	0.94	0.26	0.48	0.73	0.11	0.25	0.17	0.91
#N/A	728.61	786.4	5.74	8.51	1439.76	1114.29	149.05	159.61	4.97	2.35	5.68	6.87
#N/A	6.07	6.54	15.97	15.44	6.13	7.21	14.45	14.07	15.96	14.58	23.21	23.84
#N/A	8.43	11.6	2.38	1.26	6.04	10.7	13.81	9.02	2.38	2.44	7	5.58
#N/A	8.08	6.67	1.59	1.83	3.52	4.88	7.44	4.62	1.59	2.22	3.63	2.86
#N/A	81.43	96.87	0.71	1.13	32.74	31.73	145.35	142.78	0.71	1.46	6.28	4.25
#N/A	2.79	1.66	5.88	3.95	3.05	1.17	1.21	1.45	9.5	6.49	1.92	0.72
#N/A	43.6	41.48	55.62	43.51	28.68	24.44	38.9	31.5	46.85	48.22	33.57	38.98
#N/A	4.15	1.97	1.08	0.43	1.12	0.56	2.01	3.73	3.5	4.41	1.71	1.99
#N/A	5.66	5.76	1.27	0.67	7.92	5.72	7.23	5.87	1.69	4.77	3.14	2.68
#N/A	5.82	7.01	5.53	3.98	3.51	2.45	5.97	5.2	3.76	3.8	4.56	1.74
#N/A	8.03	6.91	193.56	191.01	7	6.76	11.83	10.3	138	128.58	5.22	4.57
#N/A	58.73	64.11	0.53	0.44	14.9	15.58	32.4	30.94	0.5	0.73	2.95	3.3
#N/A	8.23	10.62	2.46	4.89	3.84	4.15	8.21	6.57	0.62	1.89	10.11	9.1
#N/A	0.6	0.3	0.17	0.23	0.37	0.57	0.64	0.92	0.22	0.48	0.74	0.52
#N/A	200.19	195.17	126.4	136.33	148.72	164.34	169.21	182.23	115.49	100.27	61.99	66.81
#N/A	16.34	16.02	2077.23	2026.7	47.83	44.62	29.72	30.31	385.99	410.55	55.21	53.26
#N/A	16.62	16.89	11.24	11.91	14.02	14.72	19.13	18.39	10.22	11.03	11.49	11.3
#N/A	1.22	0.35	4.9	5.64	7.38	4.74	0.36	0.54	4.4	3.81	3.94	3.57
#N/A	2.3	0.2	0.76	0.1	2.04	2.23	3.88	3.9	0.61	0.7	1.82	0.96
#N/A	1.47	1.7	1.22	0.65	1.27	2.12	4.57	3.48	2.24	2.09	3.02	3.88
#N/A	7.43	4.9	10.44	11.23	9.39	10.28	9.39	7	6.78	3.85	4.56	4.83
#N/A	13.09	13.52	3.11	7.22	11.91	12.59	14.23	13.48	6.09	3.99	8.27	9.11
#N/A	5.19	6.59	3.78	4.01	7.86	9.17	13.91	11.21	5.46	6.03	12.92	14.21
#N/A	3.14	5.18	1.9	0.61	1.19	4.35	6.53	13.83	2.67	1.17	4.44	4.83
#N/A	4.45	4.76	4.55	5.32	6.63	8.47	7.5	7.36	5.45	4.45	7.37	1.74
#N/A	15.38	15.49	4.31	2.93	8.37	9.07	19.62	19.55	2.77	4.1	11.15	11.77
#N/A	65.39	63.14	7.12	8.13	46.67	59.4	78.47	74.2	2.18	2.73	17.58	21.6
#N/A	1.21	2.46	0.79	1.25	0.82	1.22	1.26	2.93	2.36	1.61	4.16	2.07
#N/A	2.49	0.42	0.4	1.28	2.93	1.68	3.87	5.59	1.61	2.07	1.71	1.7
#N/A	20.76	19.43	0.72	0.9	5.71	6.34	10.52	12.16	0.41	0.5	2.99	3.09
#N/A	38.87	36.31	24.97	40.65	41.14	34.79	27.95	24.04	52.99	41.81	18.08	16.09
#N/A	6.5	3.48	3.89	2.65	8.83	6.06	5.1	7.34	3.79	3.41	6.18	6.26
#N/A	9.4	7.86	8.59	8.53	10.6	9.48	5.16	4.87	11.81	15.68	5.69	3.69
#N/A	28.68	29.91	14.85	17.15	69.79	69.28	47.75	43.6	20.11	20.13	45.19	49.91
#N/A	3.47	3.83	0.14	0.45	4.68	3.21	2.7	4.05	0.28	0.14	2.83	3.27
#N/A	4.43	3.89	0.78	0.62	5.29	9.96	5.85	5.01	1.57	1.4	7.47	3.72
#N/A	5.16	5.88	0.72	1.15	2.27	1.47	1.52	5.58	1.09	1.11	0.76	0.47
#N/A	0.81	0.7	4.11	4.61	0.14	0.28	0.85	0.42	6.1	7.3	0.28	0.56
#N/A	43.22	43.38	18.21	8.84	26.28	24.17	44.81	48.03	17.7	21.25	40.76	41.69
#N/A	1.11	0.75	0.72	1.14	0.19	0.75	0.77	0.38	0.36	0.18	3.61	3.22
#N/A	2.25	3.12	2.23	1.59	3.01	1.04	2.01	3.38	0.25	1.02	3.93	1.95
#N/A	5.22	3.55	5.39	4.53	3.95	3.63	5.89	6.88	1.84	3.28	1.95	1.7
#N/A	28.93	27.07	9.95	10.1	15.83	15.28	26.67	23.06	7.83	11.59	27.18	23.18
#N/A	33.99	30.9	129.23	129.99	43.29	45.94	37.03	46.55	86.35	90.02	59.75	61.95
#N/A	0.21	0.16	0.35	0.24	0.52	0.83	0.48	0.13	0.4	0.26	0.59	0.74
#N/A	1.14	1.68	0.68	0.88	1.03	1.79	1.78	0.99	2.77	2.21	6.14	5.21
#N/A	1.34	0.99	1.18	3.2	2.34	2.83	3.11	4.34	4.11	2.67	27.5	23.73
#N/A	1.32	0.84	0.96	0.51	0.83	0.33	0.34	0.86	1.6	0.33	0.51	0.17
#N/A	4.17	2.19	0.27	0.32	5.7	6.71	4.07	4.2	0.75	0.41	2.61	1.96
#N/A	3.22	3.68	0.42	0.84	4.13	4.43	4.5	5.5	1.46	0.85	4.11	2.27
#N/A	13.8	8.14	2.16	1.37	13.93	6.74	17.08	15.69	1.73	1.33	8.71	5.48
#N/A	2.27	4.35	2.45	1.17	4.07	2.29	5.48	4.96	0.98	1.75	1.82	3.36
#N/A	20.66	29.78	1097.51	1158.81	36.75	36.89	34.98	35.47	1307.51	1293.24	932.65	939.75
#N/A	10.76	10.15	12.31	15.41	6.47	10.07	4.38	10.75	12.68	9.55	10.75	8.55
#N/A	6.88	4.99	0.72	0.38	13.15	8.18	6.37	6.37	1.67	1.47	2.02	3.53
#N/A	24.87	29.29	2.3	3	32.27	26.41	20.48	20.57	5.64	3.08	8.75	13.11
#N/A	4.11	4.18	1.87	1.27	7.48	10.79	7.96	9.1	3.46	3.28	6.78	9.57
#N/A	2.01	1.54	0.49	0.78	1.02	2.54	8.35	5.22	1.47	0.5	3.63	3.1
#N/A	103.97	99.55	41.44	35.63	94.11	94.73	65.1	77.35	55.47	49.75	29.97	29.52
#N/A	2.37	1.94	30.46	29.43	5.92	0.46	1.86	1.74	10.83	5.27	0.6	1.2
#N/A	0.69	0.57	0.4	0.29	0.62	1.42	0.76	0.36	0.66	1.6	0.48	1.03
#N/A	14.72	19.81	28.24	29.53	11.14	13.36	16.78	16.4	9.65	9.15	6.82	9.06
#N/A	26.25	33.19	12.04	15.89	50.97	43.02	29.24	27.66	11.53	14.86	25.07	17.08
#N/A	6.83	7.87	24.98	25	10.07	12.06	9.09	8.45	23.06	20.27	20.9	22.17
#N/A	267.94	284.56	107.24	96.96	159.86	148.78	231.29	248.03	58.97	54.61	130.65	140.01
#N/A	17.92	17.44	5.59	4.76	18.59	19.74	15.07	20.05	12.47	12.98	21.2	18.33
#N/A	7.4	8.27	7.91	8.84	8.75	11.34	10.67	10.45	5.2	5.54	11.74	11.32
#N/A	30.83	25.98	10.93	9.21	18.95	24.08	37.64	40.52	6.94	5.94	14.69	17.15
#N/A	6.62	7.68	595.97	582.2	36.26	28.61	5.88	10.78	27.55	30.1	1.95	3.88
#N/A	1.15	1.6	0.7	0.44	1.88	1.45	5.51	5.8	0.56	0.57	3.4	4.86
#N/A	43.01	41.2	10.74	22.76	45.9	57.03	48.41	56.04	66.85	45.25	92.39	83.25
#N/A	1497.61	1487.43	274.92	260.47	1231.64	1206.09	907.06	909.73	314.46	314.31	699.42	692.15
#N/A	24.73	26.98	44.77	38.78	30.36	22.2	28.75	25.1	57.79	52.99	66.5	62.4
#N/A	0.88	0.97	0.24	0.33	1.75	1.75	1.47	2.49	0.72	0.91	5.6	6.86
#N/A	3.34	4.02	2.6	3.27	4.14	4.24	3.82	2.63	7.2	6.21	5.74	7.99
#N/A	0.93	2.04	10.34	12.03	0.58	0.58	6.71	5.43	69.23	68.54	253.36	247.14
#N/A	3.91	4.22	1.61	1.56	2.34	1.62	3.2	1.97	1.73	2.01	1.53	1.22
#N/A	1.67	0.97	2	0.67	1.36	0.99	0.67	0.2	0.21	1.08	5.05	4.42
#N/A	2.98	1.82	1.16	3.68	11.44	6.02	8.04	12.37	2.9	2.97	8.6	10.41
