"GeneID"	"control_1"	"control_2"	"control_3"	"treatment_1"	"treatment_2"	"treatment_3"
"LOC_Os01g01060"	509	669	662	1004	1092	1167
"LOC_Os01g01080"	1416	1357	1338	1723	2072	1376
"LOC_Os01g01120"	1589	1856	1104.5	1698	1751	1869
"LOC_Os01g01160"	438	437	346	787	998	771
"LOC_Os01g01280"	1855	2417	1833.67	1421	1653	1297
"LOC_Os01g01302"	4259	4400	4153	2735	3283	2877
"LOC_Os01g01307"	674	717	717	746	867	687
"LOC_Os01g01340"	126216.33	157502.43	100674.93	43845.67	44948.93	41972.5
"LOC_Os01g01369"	593	654	621	428	523	431
"LOC_Os01g01450"	4952	5819	5225	8316	9032	9257
"LOC_Os01g01620"	1118	1240	1125	4481	4446	4506
"LOC_Os01g01640"	862	1037	811	996	1048	988
"LOC_Os01g01700"	1212	1264.5	1111	1255	1513	1268
"LOC_Os01g01710"	4770	4716.33	4175	4777	5412	4490
"LOC_Os01g01790"	1994	2471	2250	2508.5	2617	2642
"LOC_Os01g01870"	674	760	856	457	574	470
"LOC_Os01g01960"	3259	3189	3085	2791	2960	2540
"LOC_Os01g02020"	512	512	457	708	767	729
"LOC_Os01g02080"	1041	1096	1004	1096	1226	1336
"LOC_Os01g02139"	177	152	147	91	92	72
"LOC_Os01g02150"	600	479	481	202	199	125
"LOC_Os01g02200"	598	581	548	1223	1366	979
"LOC_Os01g02390"	456	487.5	485	210	277	263
"LOC_Os01g02870"	228	210	344	462	552	352
"LOC_Os01g02880"	433	462	525	1234	1526	1291
"LOC_Os01g02920"	573	603	420	434	465	505
"LOC_Os01g03040"	1677	2134	1579	2347.5	2774	2582
"LOC_Os01g03060"	735	728	668	681	809	674
"LOC_Os01g03144"	1457	1401	1283	1660	1843	1509
"LOC_Os01g03310"	789	1208	1304	2617	4768	3067
"LOC_Os01g03320"	16	18	68	384	884	511
"LOC_Os01g03340"	4	10.5	4.5	270.33	769.17	302.33
"LOC_Os01g03390"	10	24	11	717	664	672
"LOC_Os01g03510"	473	477	439	605	671	510
"LOC_Os01g03520"	954	864	785	706	846	663
"LOC_Os01g03730"	424	278	343	144	255	192
"LOC_Os01g03750"	261	344	222	594	523	471
"LOC_Os01g03914"	328	308	291	310	358	380
"LOC_Os01g04010"	3242	3699	2441	5937	6568	5761
"LOC_Os01g04020"	4295	5106	4124	7439	7646	8009
"LOC_Os01g04050"	17	14	50	56	64	87
"LOC_Os01g04280"	326	428	300	223	178	113
"LOC_Os01g04330"	335	337	135	969	790	717
"LOC_Os01g04350"	2209	2593	2139	3617	4752	3576
"LOC_Os01g04409"	1130	1158.5	1181	906.5	1164	1010
"LOC_Os01g04590"	292	305	221	556	517	408
"LOC_Os01g04630"	2642	3140	2439	3406	3127.5	3300
"LOC_Os01g04650"	2626	3173	2704	2419	2689	2648.5
"LOC_Os01g04730"	1100	1619	1035	2571	2614	2828
"LOC_Os01g04800"	40	30	11	7	1	10
"LOC_Os01g04814"	2282	2308	2079	1889	1982	1555
"LOC_Os01g05060"	1726	2346	2181	2755	3253	2846
"LOC_Os01g05064"	245	215	183	42	30	31
"LOC_Os01g05080"	797	897	921	1143	1369	1140
"LOC_Os01g05090"	16.5	13.5	18	26	12	12
"LOC_Os01g05420"	1589	1634	1541.5	1734	1906	1605
"LOC_Os01g05490"	9944	10720	10602	12432.33	13772	11456
"LOC_Os01g05610"	106.67	203	172.83	43.17	45	90
"LOC_Os01g05630"	980.5	1141.5	880	763.83	924.25	716.58
"LOC_Os01g05650"	11044.75	14051.17	11341	32353.35	40628.83	36139.33
"LOC_Os01g05670"	2146.1	2137	1863	2019	2463	1895
"LOC_Os01g05800"	10912.5	12885	11646.67	12224	14089.6	13255
"LOC_Os01g05830"	247	210	215	543	512	433
"LOC_Os01g05900"	260.33	325.83	278.5	302.33	280.83	265.08
"LOC_Os01g05970"	2332.31	3107.75	2185.33	2519.8	3213.48	2536.25
"LOC_Os01g06010"	2558.35	3443.67	2349.17	2429.75	2837.33	2438.75
"LOC_Os01g06020"	489	605	592.5	509	565	497
"LOC_Os01g06270"	1447.5	1223	1210	1341	1530.5	1178
"LOC_Os01g06460"	710	676	692	793	987	895.5
"LOC_Os01g06470"	332	318	302	321	445	371
"LOC_Os01g06590"	833	778	774	700	732	565
"LOC_Os01g06600"	576	633	586	821	807	749
"LOC_Os01g06740"	46	60	60	15	26	38
"LOC_Os01g07090"	1953	2125	1801	1378	1439	1469
"LOC_Os01g07200"	350	426	328	538	560	493
"LOC_Os01g07376"	110	131	100	289	300	198
"LOC_Os01g07390"	1332	1548	1340	1104	1183	1074
"LOC_Os01g07530"	1364	1308	1013	2554	2105	1601
"LOC_Os01g07730"	731	800	687	610	970	548
"LOC_Os01g07750"	186	199	188	221	275	186
"LOC_Os01g07760"	5019	5329	4799	6256	7028	5832
"LOC_Os01g07950"	297	352	312	579	599	552
"LOC_Os01g07970"	602	1028	910	452	465	341
"LOC_Os01g08320"	161	159	104	338	365	286
"LOC_Os01g08410"	933	1192	918	1414	1507	1506
"LOC_Os01g08440"	1681	2154	1296	926	1366	1672
"LOC_Os01g08450"	401	392	342	317	375	282
"LOC_Os01g08510"	1503	1604	1747	833	942	830
"LOC_Os01g08560"	3624	3440	3047	3916	4165	3289
"LOC_Os01g08660"	1584	1916	1550	1255	1358	1262
"LOC_Os01g08700"	35297	36770.33	34595.67	23735.17	26464.67	25438.67
"LOC_Os01g08890"	2241.5	2164	2138.2	2711.5	3413.5	2682.6
"LOC_Os01g08960"	147	182	124	199	175	173
"LOC_Os01g08970"	1772	1697	1701	1942	2078.5	1629
"LOC_Os01g09000"	3188	2988	2970	2084	1945	1755
"LOC_Os01g09010"	1279	1349	973	1116	1074	1183
"LOC_Os01g09020"	376	432	398	298	325	319
"LOC_Os01g09200"	955	907	906	947	1079	835
"LOC_Os01g09220"	357	266	43	131	101	436
"LOC_Os01g09246"	1739	1790	1611	1745	1776	1536
"LOC_Os01g09280"	547	647	564	529	647	511
"LOC_Os01g09300"	404	464	562	693	793	587
"LOC_Os01g09320"	3222	2871	2782	4220	4823	3687
"LOC_Os01g09420"	491.5	583	452.5	582.5	713	502.5
"LOC_Os01g09430"	3855	5055	3479	4693	5374	4669
"LOC_Os01g09510"	760	844	848	1717	1859	1753
"LOC_Os01g09540"	5787	7872	5524	16495	17406	16986
"LOC_Os01g09560"	973.5	872	927	1249	1232	1129
"LOC_Os01g09570"	1408	1477	1213	2505	3252	2164
"LOC_Os01g09640"	472	602	490	2889	3746	3230
"LOC_Os01g09770"	656	757	554	803	765	701
"LOC_Os01g09890"	1083	1238	975	1180	1210	1167
"LOC_Os01g10080"	246	253.5	240.5	455	574.67	446.5
"LOC_Os01g10210"	354	324	213	1519	1973	1219
"LOC_Os01g10290"	615.5	609.5	532	591	627	483
"LOC_Os01g10400"	91298	125305.83	59741	178889	179672.5	177715
"LOC_Os01g10610"	512	576	369	398	470	329
"LOC_Os01g10820"	866	971	954	1562	1561	1560
"LOC_Os01g10840"	765	781	667	813	925	687
"LOC_Os01g10890"	152	162	121	1736	2106	1630
"LOC_Os01g11240"	3078	2939	2795	6090	7347	5827.14
"LOC_Os01g11570"	487	483	349.33	387	371	313
