"GeneID"	"control_1"	"control_2"	"control_3"	"treatment_1"	"treatment_2"	"treatment_3"	"treatment_4"	"treatment_5"	"treatment_6"	"treatment_7"	"treatment_8"	"treatment_9"	"treatment_10"	"treatment_11"	"treatment_12"
"AT1G01090"	1065.094	1082.278	1319.869	1170.086	1026.59	1087.289	934.705	1062.611	992.077	905.748	1045.875	770.831	889.889	951.096	901.224
"AT1G01100"	2477.441	2683.504	2557.088	2082.149	2256.34	1755.203	2170.396	1849.763	1945.393	1776.626	1757.378	2052.491	1609.332	1970.031	1968.917
"AT1G01120"	570.978	466.597	290.118	520.129	456.662	402.765	209.28	225.537	254.567	287.458	253.131	264.591	272.516	147.888	150.204
"AT1G01170"	600.488	655.512	715.175	640.159	684.992	595.547	743.061	643.629	677.797	630.196	554.151	572.77	391.432	321.555	333.893
"AT1G01230"	327.352	423.352	354.214	287.418	305.64	324.466	450.304	324.489	371.898	393.766	315.558	366.298	378.55	370.398	374.075
"AT1G01300"	426.861	424.49	356.744	310.281	339.799	304.298	318.623	389.565	370.85	305.318	363.448	398.416	112.97	66.482	46.879
"AT1G01320"	424.116	438.146	444.454	639.342	568.13	566.482	402.099	566.072	515.419	491.57	484.027	583.476	737.28	887.328	805.553
"AT1G01470"	714.409	685.101	688.187	777.336	960.068	875.525	2369.094	2102.044	2086.819	3287.056	3234.259	2138.904	24845.543	29569.466	26838.688
"AT1G01490"	1085.682	1066.346	1047.462	1060.671	927.706	949.079	694.856	715.836	752.177	646.355	695.254	635.477	999.886	1051.497	1111.701
"AT1G01500"	177.744	186.639	227.709	158.407	163.607	208.204	206.928	238.018	197.996	205.813	194.124	196.531	431.071	481.654	514.712
"AT1G01550"	1759.601	1921.015	1993.719	1490.165	1551.571	1497.765	1549.611	1603.723	1666.731	1533.393	1333.212	1430.014	2634.983	2626.709	2336.295
"AT1G01620"	3003.811	3572.315	3845.753	2821.108	3011.45	3137.892	2069.283	2272.312	2520.525	1655.86	1808.688	1703.017	720.434	645.823	1049.515
"AT1G01720"	248.43	195.743	183.011	155.957	174.394	158.378	171.656	219.297	153.997	299.365	298.455	279.12	1865.001	2249.526	2354.472
"AT1G01725"	67.941	79.663	79.276	77.57	120.458	94.315	134.033	87.362	113.141	143.729	96.634	98.648	131.799	103.115	149.247
"AT1G01730"	244.999	241.265	257.227	187.802	203.16	206.425	276.296	279.025	257.71	234.729	230.041	305.121	468.728	434.167	478.357
"AT1G01800"	725.389	669.169	639.272	785.501	711.961	666.135	725.425	624.908	561.513	681.224	830.372	649.242	889.889	1127.477	992.112
"AT1G02090"	160.588	196.881	189.758	186.169	143.83	129.312	181.062	137.284	153.997	211.766	173.6	190.414	206.121	232.008	156.901
"AT1G02140"	903.134	892.225	911.68	799.382	728.142	758.077	919.42	919.087	886.269	890.439	923.585	921.48	1229.791	1373.052	1351.836
"AT1G02150"	492.743	663.479	606.381	559.322	492.619	501.826	611.379	452.858	545.799	332.533	326.676	448.887	226.932	204.872	149.247
"AT1G02205"	621.076	578.126	597.947	802.648	789.27	894.507	1435.565	1127.687	1103.123	1889.738	2404.742	1670.134	1903.649	1174.964	1800.535
"AT1G02280"	552.449	653.236	832.403	538.093	550.151	551.059	558.471	547.352	545.799	420.131	377.131	438.181	324.046	359.544	315.716
"AT1G02305"	759.703	1001.477	869.511	1080.268	1272.899	1000.685	1250.976	1301.52	1240.358	1450.897	1604.302	1511.839	2681.559	2691.834	3192.553
"AT1G02310"	27.451	1.138	9.277	1.633	7.192	5.339	5.879	16.938	2.095	15.308	3.421	13	619.355	925.318	815.12
"AT1G02470"	18.529	25.037	10.12	25.312	25.17	26.693	15.284	153.33	38.761	48.477	76.965	105.53	463.773	377.182	577.855
"AT1G02500"	1489.209	1534.081	1532.398	1820.86	1832.04	1748.678	1803.569	1983.481	1787.205	1871.028	2238.839	2037.962	2127.608	1880.485	1831.15
"AT1G02560"	2421.166	2516.212	2533.474	2249.538	2346.234	2164.493	2439.638	2307.97	2203.102	2448.495	2068.66	2085.374	2067.159	1841.138	2103.813
"AT1G02780"	7224.382	7124.145	6768.019	5631.601	5418.812	4736.497	5624.688	5364.76	5518.756	5257.589	5426.064	5473.055	5051.954	5290.05	4729.036
"AT1G02850"	275.195	59.178	55.662	106.149	89.894	74.147	117.573	138.175	157.14	169.243	138.538	177.414	166.483	240.148	183.689
"AT1G02920"	4218.512	2080.341	1616.734	1103.947	562.737	333.957	573.756	869.166	628.56	91	109.462	477.181	74.323	435.523	149.247
"AT1G02930"	7508.498	3312.841	2536.004	1820.043	927.706	634.103	1116.943	1551.127	1061.219	470.308	409.627	1072.893	278.462	811.349	238.222
"AT1G03130"	14351.313	19189.67	20152.251	21273.848	23791.352	22008.548	20491.784	17915.516	19560.783	17124.16	15808.701	14796.442	3050.199	1739.38	2145.909
"AT1G03220"	2577.636	1567.084	1217.822	578.919	551.949	554.618	284.526	479.601	316.375	201.561	252.276	422.887	2003.737	4379.657	4994.045
"AT1G03330"	286.862	356.207	321.323	277.62	325.416	247.947	295.108	307.551	244.091	332.533	270.234	318.121	355.757	465.372	442.958
"AT1G03350"	313.626	304.995	282.528	320.896	338.002	276.419	277.472	328.054	288.09	267.047	352.331	269.944	646.111	549.492	680.223
"AT1G03380"	150.293	118.356	117.228	156.774	212.15	211.17	213.983	279.025	281.804	295.963	295.889	238.591	456.836	430.096	469.746
"AT1G03475"	1019.113	1235.914	1060.112	1065.57	913.323	911.116	1138.106	1042.108	1033.981	796.037	741.434	925.303	234.859	326.982	241.092
"AT1G03600"	4534.197	6155.671	6174.289	5486.259	6321.348	5428.732	5395.421	4324.435	5026.384	4039.72	3483.114	3587.271	2536.877	2214.25	2285.589
"AT1G03630"	1718.424	1921.015	2036.731	2145.022	2533.214	1991.88	2096.325	1796.276	1846.918	1707.738	1476.026	1605.898	295.308	195.375	265.01
"AT1G03680"	3475.28	4553.307	4330.689	3979.763	4730.224	4425.081	4771.109	4510.748	4529.821	4372.253	4089.43	3594.918	2003.737	1264.511	1539.352
"AT1G03740"	510.586	397.177	298.552	246.592	129.447	170.241	211.631	245.149	231.52	133.523	129.986	172.825	170.446	183.164	152.117
"AT1G03860"	393.92	417.662	303.612	262.922	280.469	298.367	275.121	268.327	258.757	245.785	241.158	325.003	345.848	464.016	394.166
"AT1G03870"	1247.642	1156.251	810.476	467.055	338.002	481.064	148.142	188.096	199.044	79.093	131.696	165.178	28.738	47.487	18.178
"AT1G03900"	440.586	434.732	362.648	413.164	375.757	359.464	432.668	465.338	459.896	395.467	472.91	439.71	879.979	1039.287	994.025
"AT1G03940"	8.235	4.552	0	1.633	17.979	11.863	10.582	4.457	4.19	48.477	18.814	19.883	186.302	141.104	47.836
"AT1G03970"	198.333	200.295	215.059	230.261	158.213	174.393	230.443	229.995	209.52	188.804	227.476	181.237	603.499	740.797	568.288
"AT1G04040"	465.978	571.297	641.802	401.732	370.363	437.17	320.974	356.581	245.138	180.299	139.393	154.472	48.557	54.271	14.351
"AT1G04070"	100.882	55.764	51.445	83.286	93.49	49.827	57.611	63.293	41.904	73.991	70.979	71.883	87.205	104.471	101.412
"AT1G04240"	245.685	300.443	356.744	552.79	316.427	557.584	403.275	353.015	354.089	398.869	420.744	369.357	553.951	331.052	355.897
"AT1G04250"	371.959	328.894	368.551	444.192	451.268	414.036	279.824	238.018	252.472	275.551	295.034	251.591	180.356	109.898	137.767
"AT1G04270"	3811.553	3955.835	3694.79	2915.009	2921.556	2505.569	2772.369	2791.137	2557.191	2600.729	2654.453	2668.85	1877.884	2098.925	1650.331
